"id","code","excel_col","description","excel_row","calculation_formula","excel_sheet","name","register_type","default_value"
"__export__.delsol_financial_state_row_1","B1","D","","6","","Hoja 1","CAJA Y BANCOS","Configuracion","0"
"__export__.delsol_financial_state_row_2","B2","D","","7","","Hoja 1","CRED CON PLAN OVALO S.A.","Configuracion","0"
"__export__.delsol_financial_state_row_3","B3","D","","8","","Hoja 1","CUENTAS Y OBLIGACIONES A COBRAR UNIDADES","Configuracion","0"
"__export__.delsol_financial_state_row_4","B5","D","","9","","Hoja 1","CUENTAS Y OBLIGACIONES A COBRAR REPUESTOS Y SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_5","B8","D","","10","","Hoja 1","OTROS CREDITOS Y ANTICIPOS IMPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_6","B9","","","","B1+B2+B3+B5+B8","","TOTAL DISP. + CRED. %","Configuracion","0"
"__export__.delsol_financial_state_row_3954","A14","G","Planes","47","","Hoja 1","GASTOS VARIABLES","Configuracion","0"
"__export__.delsol_financial_state_row_3955","A16","","","","A4-A14","","MARGEN VARIABLE DEPTAL.","Configuracion","0"
"__export__.delsol_financial_state_row_3956","A2","G","planes","45","","Hoja 1","OTROS EGRESOS","Configuracion","0"
"__export__.delsol_financial_state_row_3957","A26","G","planes","49","","Hoja 1","GASTOS FIJOS ASIGNADOS","Configuracion","0"
"__export__.delsol_financial_state_row_3958","A28","","","","A16-A26","","MARGEN NETO DEPTAL.","Configuracion","0"
"__export__.delsol_financial_state_row_3959","A31","G","planes","51","","Hoja 1","GASTOS FIJOS DISTRIBUIDOS","Configuracion","0"
"__export__.delsol_financial_state_row_3960","A33","","","","A28-A31","","UTILIDAD OPERATIVA DEPTAL.","Configuracion","0"
"__export__.delsol_financial_state_row_3961","A4","","","","P97+P99-A2","","UTIL. BRUTA DEPARTAMENTAL","Configuracion","0"
"__export__.delsol_financial_state_row_3962","A41","J","cantidad total de personal afectado al area","33","","Hoja 2","PLANES","Configuracion","0"
"__export__.delsol_financial_state_row_3964","B11","D","","12","","Hoja 1","UNIDADES NUEVAS","Configuracion","0"
"__export__.delsol_financial_state_row_3965","B12","D","","13","","Hoja 1","PLANES PROPIOS","Configuracion","0"
"__export__.delsol_financial_state_row_3966","B13","D","","14","","Hoja 1","UNIDADES USADAS","Configuracion","0"
"__export__.delsol_financial_state_row_3967","B14","D","","15","","Hoja 1","REPUESTOS NETOS","Configuracion","0"
"__export__.delsol_financial_state_row_3968","B15","D","","16","","Hoja 1","UNID. NUEVAS PLAN FINANC.","Configuracion","0"
"__export__.delsol_financial_state_row_3969","B16","D","","17","","Hoja 1","OTROS STOCKS","Configuracion","0"
"__export__.delsol_financial_state_row_3970","B17","","","","B9+B11+B12+B13+B14+B15+B16","","TOTAL ACTIVO CTE.","Configuracion","0"
"__export__.delsol_financial_state_row_3971","B18","D","","19","","Hoja 1","BIENES MUEBLES NETO DE AMORT.","Configuracion","0"
"__export__.delsol_financial_state_row_3972","B19","D","","20","","Hoja 1","BIENES INMUEBLES NETO DE AMORT.","Configuracion","0"
"__export__.delsol_financial_state_row_3974","B20","D","","21","","Hoja 1","OTROS ACTIVOS","Configuracion","0"
"__export__.delsol_financial_state_row_3975","B21","","","","B17+B18+B19+B20","","TOTAL DEL ACTIVO","Configuracion","0"
"__export__.delsol_financial_state_row_3976","B22","","","","B17/B29","","LIQUIDEZ CORRIENTE","Configuracion","0"
"__export__.delsol_financial_state_row_3977","B23","","","","B9/B29","","LIQUIDEZ INMEDIATA","Configuracion","0"
"__export__.delsol_financial_state_row_3978","B24","G","","6","","Hoja 1","CTAS. A PAGAR COMERC. REPTOS.","Configuracion","0"
"__export__.delsol_financial_state_row_3979","B25","G","","7","","Hoja 1","CTAS. A PAGAR COMERC. OTRAS","Configuracion","0"
"__export__.delsol_financial_state_row_3980","B26","G","","8","","Hoja 1","CTAS. Y OBLIG. A PAGAR UNIDADES","Configuracion","0"
